Days,H99,PBS,Bt22 (T1),Ftc555-1 (T2),Progeny11 (T3),Progeny24 (T4),Progeny31 (T5),Progeny40 (T6),Progeny42 (T7),Progeny48 (T8)
21,1,,,,,,,,,
26,1,,,,,,,,,
27,1,,,,,,,,,
27,1,,,,,,,,,
27,1,,,,,,,,,
173,,0,,,,,,,,
173,,0,,,,,,,,
173,,0,,,,,,,,
173,,0,,,,,,,,
173,,0,,,,,,,,
61,,,1,,,,,,,
84,,,1,,,,,,,
91,,,1,,,,,,,
92,,,1,,,,,,,
94,,,1,,,,,,,
105,,,1,,,,,,,
124,,,1,,,,,,,
127,,,1,,,,,,,
173,,,0,,,,,,,
173,,,0,,,,,,,
173,,,,0,,,,,,
173,,,,0,,,,,,
173,,,,0,,,,,,
173,,,,0,,,,,,
173,,,,0,,,,,,
173,,,,0,,,,,,
173,,,,0,,,,,,
173,,,,0,,,,,,
173,,,,0,,,,,,
173,,,,0,,,,,,
94,,,,,1,,,,,
111,,,,,1,,,,,
124,,,,,1,,,,,
127,,,,,1,,,,,
131,,,,,1,,,,,
134,,,,,1,,,,,
154,,,,,1,,,,,
172,,,,,1,,,,,
172,,,,,1,,,,,
173,,,,,0,,,,,
77,,,,,,1,,,,
110,,,,,,1,,,,
127,,,,,,1,,,,
131,,,,,,1,,,,
140,,,,,,1,,,,
160,,,,,,1,,,,
167,,,,,,1,,,,
173,,,,,,0,,,,
173,,,,,,0,,,,
173,,,,,,0,,,,
109,,,,,,,1,,,
127,,,,,,,1,,,
151,,,,,,,1,,,
154,,,,,,,1,,,
160,,,,,,,1,,,
173,,,,,,,0,,,
173,,,,,,,0,,,
173,,,,,,,0,,,
173,,,,,,,0,,,
173,,,,,,,0,,,
68,,,,,,,,1,,
74,,,,,,,,1,,
76,,,,,,,,1,,
96,,,,,,,,1,,
95,,,,,,,,1,,
95,,,,,,,,1,,
95,,,,,,,,1,,
124,,,,,,,,1,,
173,,,,,,,,0,,
173,,,,,,,,0,,
173,,,,,,,,,0,
173,,,,,,,,,0,
173,,,,,,,,,0,
173,,,,,,,,,0,
173,,,,,,,,,0,
173,,,,,,,,,0,
173,,,,,,,,,0,
173,,,,,,,,,0,
173,,,,,,,,,0,
173,,,,,,,,,0,
134,,,,,,,,,,1
151,,,,,,,,,,1
173,,,,,,,,,,0
173,,,,,,,,,,0
173,,,,,,,,,,0
173,,,,,,,,,,0
173,,,,,,,,,,0
173,,,,,,,,,,0
173,,,,,,,,,,0
173,,,,,,,,,,0
