PMY,QTL,replicate,IPR,Strain,Group
PMY2649,Bt22,1,1.33,Bt22,A
PMY2649,Bt22,2,1.61,Bt22,A
PMY2649,Bt22,3,1.82,Bt22,A
PMY2649,Bt22,4,1.2,Bt22,A
PMY2649,Bt22,5,1.43,Bt22,A
PMY2649,Bt22,6,1.17,Bt22,A
PMY2649,Bt22,7,1,Bt22,A
PMY2649,Bt22,8,1.67,Bt22,A
PMY2649,Bt22,9,1.33,Bt22,A
PMY2649,Bt22,10,1.13,Bt22,A
PMY2649,Bt22,11,0.9,Bt22,A
PMY2649,Bt22,12,1.25,Bt22,A
PMY2650,Ftc555-1,1,1.3,Ftc555-1,B
PMY2650,Ftc555-1,2,1.38,Ftc555-1,B
PMY2650,Ftc555-1,3,1.33,Ftc555-1,B
PMY2650,Ftc555-1,4,1.3,Ftc555-1,B
PMY2650,Ftc555-1,5,1.54,Ftc555-1,B
PMY2650,Ftc555-1,6,1.56,Ftc555-1,B
PMY2650,Ftc555-1,7,1,Ftc555-1,B
PMY2650,Ftc555-1,8,2,Ftc555-1,B
PMY2650,Ftc555-1,9,1.67,Ftc555-1,B
PMY2650,Ftc555-1,10,1.56,Ftc555-1,B
PMY2650,Ftc555-1,11,1.17,Ftc555-1,B
PMY2650,Ftc555-1,12,1.67,Ftc555-1,B
PMY2765,Ftc555-1,1,1.64,PMY2765,C
PMY2765,Ftc555-1,2,0.83,PMY2765,C
PMY2765,Ftc555-1,3,1.6,PMY2765,C
PMY2765,Ftc555-1,4,2.25,PMY2765,C
PMY2765,Ftc555-1,5,1.14,PMY2765,C
PMY2765,Ftc555-1,6,1.14,PMY2765,C
PMY2768,Ftc555-1,1,1.18,PMY2768,C
PMY2768,Ftc555-1,2,1.21,PMY2768,C
PMY2768,Ftc555-1,3,1.25,PMY2768,C
PMY2768,Ftc555-1,4,1.42,PMY2768,C
PMY2768,Ftc555-1,5,1.36,PMY2768,C
PMY2768,Ftc555-1,6,0.89,PMY2768,C
PMY2570,Bt22,1,1.33,PMY2570,D
PMY2570,Bt22,2,1.75,PMY2570,D
PMY2570,Bt22,3,2,PMY2570,D
PMY2570,Bt22,4,2,PMY2570,D
PMY2570,Bt22,5,1.2,PMY2570,D
PMY2570,Bt22,6,1.33,PMY2570,D
PMY2581,Bt22,1,1.5,PMY2581,D
PMY2581,Bt22,2,1,PMY2581,D
PMY2581,Bt22,3,2,PMY2581,D
PMY2911,Bt22,1,1.29,PMY2911,D
PMY2911,Bt22,2,1.77,PMY2911,D
PMY2911,Bt22,3,2.05,PMY2911,D
