target_id,Gene
CNAG_03342-t26_1,TRM82
CNAG_03343-t26_1,Hypothetical_03343
CNAG_03344-t26_1,Hypothetical_03344
CNAG_03345-t26_1,SSD1_1
CNAG_03345-t26_2,SSD1_2
CNAG_03346-t26_1,BZP4
CNAG_03347-t26_1,HSP78
CNAG_03348-t26_1,Hypothetical_03348
CNAG_03349-t26_1,CDC40
CNAG_03352-t26_1,FRA2
CNAG_03353-t26_1,Hypothetical_03353
CNAG_03354-t26_1,Hypothetical_03354
CNAG_03355-t26_1,TCO4
CNAG_03356-t26_1,Hypothetical_03356
CNAG_03357-t26_1,Hypothetical_03357
CNAG_03358-t26_1,PGK1
CNAG_03359-t26_1,cytochrome c oxidase subunit 7
CNAG_03360-t26_1,Hypothetical_03360
CNAG_03361-t26_1,Hypothetical_03361
CNAG_03362-t26_1,Hypothetical_03362
CNAG_03363-t26_1,Hypothetical_03363
CNAG_03364-t26_1,Hypothetical_03364
CNAG_03365-t26_1,Hypothetical_03365_1
CNAG_03365-t26_2,Hypothetical_03365_2
CNAG_03366-t26_1,ZNF2_1
CNAG_03366-t26_2,ZNF2_2
CNAG_07724-t26_1,CUF1
CNAG_01431-t26_1,HOB1
CNAG_01523-t26_1,HOG1
CNAG_02680-t26_1,VPS15
CNAG_04215-t26_1,MET3
CNAG_06697-t26_1,MPS1_1
CNAG_06697-t26_2,MPS1_2
CNAG_00396-t26_1,PKA1
CNAG_02233-t26_1,MEC1
CNAG_05420-t26_1,USV101
CNAG_07464-t26_1,MBS1
CNAG_06730-t26_1,GSK3_1
CNAG_06730-t26_2,GSK3_2
CNAG_00405-t26_1,KIC1
CNAG_03465-t26_1,LAC1
CNAG_07701-t26_1,CTR1
CNAG_00979-t26_1,CTR4
CNAG_00876-t26_1,FRE7
CNAG_06242-t26_1,CFT1
CNAG_06241-t26_1,CFO1
CNAG_03891-t26_1,hsp60-like protein
CNAG_01846-t26_1,flavoprotein
CNAG_05256-t26_1,CAT2
CNAG_03498-t26_1,FRE201
CNAG_05449-t26_1,MT1
CNAG_00306-t26_1,MT2
CNAG_04358-t26_1,ATM1
CNAG_02915-t26_1,PKH202
CNAG_04864-t26_1,CIR1
CNAG_02950-t26_1,GRX4
CNAG_01242-t26_1,HAPX
CNAG_02959-t26_1,CFO2
CNAG_02959-t26_1,CFT2
CNAG_05431-t26_1,Rim101
CNAG_05386-t26_1,PRO1_1
CNAG_05386-t26_2,PRO1_2
CNAG_03567-t26_1,CBK1
CNAG_00405-t26_1,KIC1
CNAG_01773-t26_1,VPS30
CNAG_03821-t26_1,VPS34
CNAG_01653-t26_1,CIG1
