Strain,Date,Rep,1,2,3,4,5,6,7,8,9,10
Bt102,6_18_2019,1,0,0,0,0,0.014,0.07,0.234,0.316,0.564,NA
Bt102,6_18_2019,2,0,0,0.013,0.012,0.022,0.12,0.25,0.443,0.619,NA
Ftc192-1,6_18_2019,1,0,0,0,0,0,0,0.147,0.267,0.545,NA
Ftc192-1,6_18_2019,2,0,0.002,0.004,0.05,0.062,0.136,0.295,0.429,0.695,NA
Bt206,6_18_2019,1,0,0.007,0.013,0.037,0.037,0,0.083,0.157,0.37,NA
Bt206,6_18_2019,2,0,0,0,0,0,0,0.138,0.203,0.441,NA
Bt22,6_18_2019,1,0,0.005,0,0.065,0.207,0.55,0.868,1.188,2.079,NA
Bt22,6_18_2019,2,0,0,0,0.142,0.246,0.649,1.088,1.508,2.387,NA
Bt22,7_05_2019,1,0,0,0,0.026,0.163,0.419,0.704,0.852,1.024,1.198
Bt22,7_05_2019,2,0,0,0,0,0.169,0.307,0.538,0.666,0.862,1.024
AD1-7a,6_18_2019,1,0,0.03,0.033,0.108,0.221,0.474,0.807,1.142,1.698,NA
AD1-7a,6_18_2019,2,0,0,0,0.063,0.106,0.519,0.795,1.162,1.87,NA
AD1-7a,7_05_2019,1,0,0,0,0,0.074,0.211,0.37,0.484,0.607,0.728
AD1-7a,7_05_2019,2,0,0,0.006,0.033,0.092,0.241,0.441,0.579,0.769,0.948
Ftc555-1,6_18_2019,1,0,0.032,0.009,0.02,0.083,0.192,0.331,0.393,0.618,NA
Ftc555-1,6_18_2019,2,0,0.024,0.057,0.025,0.075,0.091,0.235,0.358,0.569,NA
Ftc267-1,6_18_2019,1,0,0.014,0.006,0.01,0.043,0.004,0.05,0.165,0.301,NA
Ftc267-1,6_18_2019,2,0,0.026,0.042,0.033,0.06,0.11,0.185,0.309,0.577,NA
Ftc267-1,7_05_2019,1,0,0.009,0.003,0,0.001,0,0.039,0.058,0.104,0.108
Ftc267-1,7_05_2019,2,0,0,0.002,0,0.003,0.01,0.01,0.039,0.112,0.126
T4,6_18_2019,1,0,0.053,0.053,0.124,0.141,0.356,0.651,0.942,1.465,NA
T4,6_18_2019,2,0,0.09,0.057,0.075,0.137,0.38,0.732,1.115,1.647,NA
T4,7_05_2019,1,0,0.043,0.072,0.095,0.14,0.205,0.335,0.431,0.545,0.618
T4,7_05_2019,2,0,0.001,0.008,0.018,0.012,0.142,0.264,0.354,0.398,0.483
Bt65,6_18_2019,1,0,0.022,0.022,0.058,0.058,0.21,0.319,0.431,0.701,NA
Bt65,6_18_2019,2,0,0.001,0.013,0.052,0.043,0.179,0.318,0.484,0.695,NA
Bt130,6_18_2019,1,0,0.046,0.001,0.048,0.069,0.217,0.407,0.56,0.83,NA
Bt130,6_18_2019,2,0,0.034,0.046,0.028,0.037,0.059,0.226,0.401,0.681,NA
Bt1,6_18_2019,1,0,0.005,0,0.009,0.012,0.009,0,0.024,0.09,NA
Bt1,6_18_2019,2,0,0.001,0.014,0.032,0.029,0.088,0.108,0.214,0.313,NA
Bt1,7_05_2019,1,0,0,0,0,0,0,0.004,0,0.003,0.032
Bt1,7_05_2019,2,0,0,0.006,0,0.009,0.014,0.107,0.036,0.049,0.138
H99,6_18_2019,1,0,0.016,0.007,0.014,0.162,0.485,0.763,1.115,1.588,NA
H99,6_18_2019,2,0,0,0.03,0.031,0.159,0.435,0.721,0.993,1.669,NA
H99,7_05_2019,1,0,0,0,0.054,0.079,0.19,0.338,0.436,0.55,0.694
H99,7_05_2019,2,0,0,0,0,0.011,0.211,0.355,0.411,0.549,0.641
DR3a,8_10_2019,1,0,0.012,0.003,0.013,0.01,0.01,0.008,0.011,0,NA
DR3a,8_10_2019,2,0,0,0,0,0,0,0,0,0,NA
KN99,8_10_2019,1,0,0,0.035,0.094,0.441,0.747,1.163,1.74,2.392,NA
KN99,8_10_2019,2,0,0.014,0.019,0.082,0.477,0.847,1.222,1.79,2.435,NA
Cap59,8_10_2019,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cap59,8_10_2019,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
